,movie_id,Unnamed: 0,movie_id,director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,importent_feature
0,0,0,0,James Cameron,CCH Pounder,Joel David Moore,Wes Studi,Action Adventure Fantasy Sci-Fi,avatar,avatar James Cameron CCH Pounder Joel David Moore Wes Studi Action Adventure Fantasy Sci-Fi
1,1,1,1,Gore Verbinski,Johnny Depp,Orlando Bloom,Jack Davenport,Action Adventure Fantasy,pirates of the caribbean: at world's end,pirates of the caribbean: at world's end Gore Verbinski Johnny Depp Orlando Bloom Jack Davenport Action Adventure Fantasy
2,2,2,2,Sam Mendes,Christoph Waltz,Rory Kinnear,Stephanie Sigman,Action Adventure Thriller,spectre,spectre Sam Mendes Christoph Waltz Rory Kinnear Stephanie Sigman Action Adventure Thriller
3,3,3,3,Christopher Nolan,Tom Hardy,Christian Bale,Joseph Gordon-Levitt,Action Thriller,the dark knight rises,the dark knight rises Christopher Nolan Tom Hardy Christian Bale Joseph Gordon-Levitt Action Thriller
4,4,4,4,Doug Walker,Doug Walker,Rob Walker,unknown,Documentary,star wars: episode vii - the force awakens            ,star wars: episode vii - the force awakens             Doug Walker Doug Walker Rob Walker unknown Documentary
5,5,5,5,Andrew Stanton,Daryl Sabara,Samantha Morton,Polly Walker,Action Adventure Sci-Fi,john carter,john carter Andrew Stanton Daryl Sabara Samantha Morton Polly Walker Action Adventure Sci-Fi
6,6,6,6,Sam Raimi,J.K. Simmons,James Franco,Kirsten Dunst,Action Adventure Romance,spider-man 3,spider-man 3 Sam Raimi J.K. Simmons James Franco Kirsten Dunst Action Adventure Romance
7,7,7,7,Nathan Greno,Brad Garrett,Donna Murphy,M.C. Gainey,Adventure Animation Comedy Family Fantasy Musical Romance,tangled,tangled Nathan Greno Brad Garrett Donna Murphy M.C. Gainey Adventure Animation Comedy Family Fantasy Musical Romance
8,8,8,8,Joss Whedon,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,Action Adventure Sci-Fi,avengers: age of ultron,avengers: age of ultron Joss Whedon Chris Hemsworth Robert Downey Jr. Scarlett Johansson Action Adventure Sci-Fi
9,9,9,9,David Yates,Alan Rickman,Daniel Radcliffe,Rupert Grint,Adventure Family Fantasy Mystery,harry potter and the half-blood prince,harry potter and the half-blood prince David Yates Alan Rickman Daniel Radcliffe Rupert Grint Adventure Family Fantasy Mystery
